Transaction_ID,Payment,Order_Date,Payment_Method
POS00109,486,08-12-2025,Credit Card
POS00110,1640,30-11-2024,Alipay
POS00111,1659,19-02-2024,WeChat Pay
POS00112,1880,11-03-2024,Cash
POS00113,2997,27-08-2025,WeChat Pay
POS00114,630,30-10-2025,Credit Card
POS00115,388,05-11-2024,WeChat Pay
POS00116,1495,07-08-2025,Credit Card
POS00117,801,09-06-2024,Alipay
POS00118,2461,21-05-2024,Alipay
POS00119,1371,28-12-2024,WeChat Pay
POS00120,1099,06-08-2024,Alipay
POS00121,200,12-05-2025,Cash
POS00122,1518,04-12-2025,Cash
POS00123,1729,03-02-2025,Cash
POS00124,725,01-02-2024,Alipay
POS00125,2413,21-06-2024,Cash
POS00126,2457,14-08-2025,Credit Card
POS00127,2022,21-10-2025,WeChat Pay
POS00128,2331,19-12-2025,Cash
POS00129,1588,03-08-2024,WeChat Pay
POS00130,1853,03-07-2025,WeChat Pay
POS00131,1073,19-04-2025,Credit Card
POS00132,79,05-05-2025,Cash
POS00133,2908,04-05-2025,WeChat Pay
POS00134,1769,04-08-2024,Alipay
POS00135,1848,12-08-2024,Credit Card
POS00136,735,27-07-2025,WeChat Pay
POS00137,2339,04-12-2024,Alipay
POS00138,351,25-09-2024,Cash
POS00139,1235,07-01-2025,Cash
POS00140,2181,11-07-2025,Cash
POS00141,513,16-04-2024,Alipay
POS00142,654,14-06-2024,Credit Card
POS00143,204,19-01-2024,WeChat Pay
POS00144,575,07-11-2024,Credit Card
POS00145,2099,04-09-2024,Alipay
POS00146,1848,10-05-2024,Cash
POS00147,728,09-04-2024,Cash
POS00148,934,07-08-2025,Cash
POS00149,1908,09-02-2025,Cash
POS00150,2093,28-09-2024,Cash
POS00151,2794,13-06-2025,WeChat Pay
POS00152,446,12-08-2025,WeChat Pay
POS00153,1778,27-06-2024,WeChat Pay
POS00154,2889,28-12-2025,Credit Card
POS00155,2529,16-04-2025,Cash
POS00156,2299,11-08-2025,WeChat Pay
POS00157,1645,07-08-2024,Cash
POS00158,1668,21-12-2025,Credit Card
POS00159,120,19-04-2024,Cash
POS00160,340,04-01-2024,Alipay
POS00161,2489,07-01-2024,Credit Card
POS00162,1758,06-01-2024,Cash
POS00163,1764,18-01-2025,Cash
POS00164,457,25-04-2025,WeChat Pay
POS00165,1758,18-06-2024,Alipay
POS00166,1209,04-01-2025,Credit Card
POS00167,1176,29-11-2025,WeChat Pay
POS00168,1238,29-07-2024,WeChat Pay
POS00169,2998,29-08-2025,Credit Card
POS00170,2819,25-02-2024,WeChat Pay
POS00171,148,12-10-2025,Cash
POS00172,2527,20-02-2025,Credit Card
POS00173,817,21-01-2025,Alipay
POS00174,971,24-01-2024,Alipay
POS00175,2193,13-03-2025,Cash
POS00176,2798,03-04-2025,Cash
POS00177,2854,14-10-2024,Alipay
POS00178,1558,17-09-2025,Credit Card
POS00179,2427,08-10-2024,Credit Card
POS00180,1908,20-11-2024,Credit Card
POS00181,131,19-07-2024,Credit Card
POS00182,332,06-06-2025,Alipay
POS00183,322,02-08-2025,Cash
POS00184,1662,15-11-2025,WeChat Pay
POS00185,50,03-12-2024,Alipay
POS00186,580,18-07-2025,WeChat Pay
POS00187,2305,08-09-2024,Credit Card
POS00188,20,24-05-2024,Credit Card
POS00189,2439,01-11-2025,Alipay
POS00190,2099,05-05-2024,Alipay
POS00191,2921,14-01-2024,WeChat Pay
POS00192,2835,19-03-2025,Credit Card
POS00193,2393,26-06-2024,Cash
POS00194,872,22-04-2024,Cash
POS00195,1080,26-11-2024,Alipay
POS00196,1072,23-06-2025,WeChat Pay
POS00197,1524,30-06-2024,Credit Card
POS00198,429,02-07-2024,Cash
POS00199,80,18-11-2024,WeChat Pay
POS00200,1702,12-03-2024,Alipay
POS00201,176,01-09-2025,Alipay
POS00202,423,31-07-2025,Credit Card
POS00203,2948,13-05-2025,Alipay
POS00204,1301,31-10-2025,Credit Card
POS00205,1046,30-04-2024,Cash
POS00206,2025,05-03-2025,Credit Card
POS00207,2721,05-12-2024,WeChat Pay
POS00208,107,11-12-2024,Cash
POS00209,625,27-10-2025,Credit Card
POS00210,1517,14-07-2024,Alipay
POS00211,1520,18-06-2024,WeChat Pay
POS00212,659,02-01-2024,WeChat Pay
POS00213,448,09-06-2025,Cash
POS00214,1235,10-01-2025,WeChat Pay
POS00215,2143,29-11-2025,Credit Card
POS00216,560,06-03-2025,Cash
POS00217,2760,12-03-2025,Cash
POS00218,1001,05-03-2025,Credit Card
POS00219,584,23-11-2025,WeChat Pay
POS00220,2092,31-03-2024,Alipay
POS00221,120,27-03-2024,Alipay
POS00222,120,28-07-2024,WeChat Pay
POS00223,2892,23-09-2024,Cash
POS00224,1397,14-01-2025,Credit Card
POS00225,1585,23-10-2024,Credit Card
POS00226,1682,22-03-2024,Cash
POS00227,2262,09-10-2024,WeChat Pay
POS00228,1920,30-04-2024,Credit Card
POS00229,1244,18-03-2024,Cash
POS00230,2270,15-06-2024,WeChat Pay
POS00231,1492,23-08-2025,Credit Card
POS00232,2818,12-11-2024,WeChat Pay
POS00233,1104,05-10-2024,Alipay
POS00234,674,09-08-2024,Cash
POS00235,607,15-09-2025,Alipay
POS00236,21,10-12-2024,WeChat Pay
POS00237,2085,20-01-2025,Cash
POS00238,2422,12-04-2025,Cash
POS00239,1095,30-09-2024,Cash
POS00240,1023,30-09-2025,Cash
POS00241,1493,19-05-2024,WeChat Pay
POS00242,1308,21-03-2025,Cash
POS00243,1208,14-02-2024,WeChat Pay
POS00244,2784,27-12-2025,Alipay
POS00245,1058,25-07-2025,Cash
POS00246,512,01-03-2025,Credit Card
POS00247,719,03-06-2025,Cash
POS00248,633,02-04-2024,WeChat Pay
POS00249,1558,14-07-2024,Cash
POS00250,2131,02-03-2024,Credit Card
POS00251,2116,12-08-2024,WeChat Pay
POS00252,116,11-01-2024,WeChat Pay
POS00253,1620,23-12-2025,WeChat Pay
POS00254,717,05-03-2025,Alipay
POS00255,1250,11-06-2024,Cash
POS00256,1592,22-08-2024,WeChat Pay
POS00257,227,25-02-2024,Credit Card
POS00258,1615,24-10-2025,Credit Card
POS00259,1316,25-08-2024,WeChat Pay
POS00260,2979,22-03-2024,Alipay
POS00261,2299,08-12-2025,Alipay
POS00262,1878,09-05-2025,WeChat Pay
POS00263,1725,19-02-2025,Alipay
POS00264,1457,30-06-2025,Cash
POS00265,2941,12-02-2024,WeChat Pay
POS00266,473,29-07-2025,Cash
POS00267,423,20-05-2024,Credit Card
POS00268,2509,18-06-2025,WeChat Pay
POS00269,512,16-05-2025,Cash
POS00270,1783,12-03-2025,Alipay
POS00271,2912,13-12-2024,Cash
POS00272,1048,21-11-2024,Cash
POS00273,1589,03-02-2025,Alipay
POS00274,1115,02-05-2025,Cash
POS00275,1305,23-01-2024,Alipay
POS00276,1030,25-09-2025,Alipay
POS00277,2762,16-06-2024,Credit Card
POS00278,1029,05-10-2025,Credit Card
POS00279,1489,18-04-2024,Alipay
POS00280,909,02-04-2025,Alipay
POS00281,580,01-02-2025,Cash
POS00282,1006,29-05-2024,Credit Card
POS00283,549,20-07-2024,WeChat Pay
POS00284,1345,27-09-2024,Cash
POS00285,927,22-08-2024,Cash
POS00286,2217,18-04-2025,Credit Card
POS00287,2444,06-11-2025,Credit Card
POS00288,1417,05-06-2024,Cash
POS00289,543,24-03-2024,Credit Card
POS00290,2160,02-09-2025,Cash
POS00291,2136,21-11-2025,WeChat Pay
POS00292,2793,18-07-2024,WeChat Pay
POS00293,2486,23-12-2024,Credit Card
POS00294,2776,20-05-2025,Alipay
POS00295,1319,22-09-2025,Cash
POS00296,1337,20-06-2025,Alipay
POS00297,1781,31-08-2024,Credit Card
POS00298,707,21-07-2025,Cash
POS00299,1166,24-11-2025,Credit Card
POS00300,983,07-05-2025,Credit Card
POS00301,1283,19-02-2024,Credit Card
POS00302,2084,04-02-2024,Credit Card
POS00303,1737,28-06-2025,Cash
POS00304,2191,14-12-2025,Cash
POS00305,2545,02-08-2025,Alipay
POS00306,1118,21-07-2025,Credit Card
POS00307,1305,05-04-2025,WeChat Pay
POS00308,1403,12-11-2024,Cash
POS00309,1135,09-08-2024,Credit Card
POS00310,2749,23-08-2024,Alipay
POS00311,2244,18-05-2024,WeChat Pay
POS00312,1900,21-06-2024,Cash
POS00313,1201,07-02-2025,Alipay
POS00314,215,07-12-2024,WeChat Pay
POS00315,2939,31-10-2024,Alipay
POS00316,2565,15-02-2025,Alipay
POS00317,2935,08-09-2025,Cash
POS00318,1999,12-06-2024,Credit Card
POS00319,2733,12-08-2025,WeChat Pay
POS00320,2052,27-12-2024,Credit Card
POS00321,278,24-10-2024,Credit Card
POS00322,1649,24-12-2024,Credit Card
POS00323,131,03-03-2025,Cash
POS00324,1724,05-06-2025,Alipay
POS00325,2813,13-11-2024,Cash
POS00326,2800,11-05-2024,Cash
POS00327,2507,22-11-2024,Alipay
POS00328,599,07-08-2024,WeChat Pay
POS00329,2869,23-08-2025,WeChat Pay
POS00330,959,14-08-2025,WeChat Pay
POS00331,1082,02-03-2024,Credit Card
POS00332,265,08-05-2024,Cash
POS00333,2992,12-09-2025,Cash
POS00334,2095,18-02-2024,Alipay
POS00335,2144,18-01-2025,Credit Card
POS00336,2767,05-07-2025,Alipay
POS00337,2980,09-09-2024,Credit Card
POS00338,1086,03-08-2024,Cash
POS00339,420,14-03-2025,WeChat Pay
POS00340,2496,29-06-2024,Cash
POS00341,236,26-12-2024,WeChat Pay
POS00342,1555,15-11-2025,Alipay
POS00343,2493,27-04-2024,WeChat Pay
POS00344,237,19-08-2024,Alipay
POS00345,2193,24-11-2024,Cash
POS00346,2704,18-09-2025,WeChat Pay
POS00347,2758,13-03-2024,Cash
POS00348,1513,01-04-2024,Alipay
POS00349,2298,30-08-2025,Alipay
POS00350,99,04-01-2024,Credit Card
POS00351,732,05-05-2025,Credit Card
POS00352,1175,31-03-2024,Alipay
POS00353,2654,10-10-2024,Cash
POS00354,948,18-06-2025,Credit Card
POS00355,1832,05-05-2025,Alipay
POS00356,2843,29-11-2025,WeChat Pay
POS00357,831,25-08-2024,WeChat Pay
POS00358,37,28-08-2024,Credit Card
POS00359,1972,24-07-2025,Credit Card
POS00360,197,15-10-2024,WeChat Pay
POS00361,622,01-10-2024,Alipay
POS00362,2893,04-02-2024,Credit Card
POS00363,850,04-03-2025,Credit Card
POS00364,1684,08-03-2025,Alipay
POS00365,1962,12-10-2025,Credit Card
POS00366,1930,09-03-2025,WeChat Pay
POS00367,989,27-06-2024,Cash
POS00368,1358,27-03-2025,Alipay
POS00369,1652,12-10-2025,Alipay
POS00370,2974,10-03-2024,Alipay
POS00371,20,07-10-2024,Credit Card
POS00372,2781,01-02-2025,Credit Card
POS00373,2872,26-10-2024,Cash
POS00374,2690,16-09-2025,Cash
POS00375,2325,28-12-2025,Cash
POS00376,1806,10-01-2025,Cash
POS00377,991,22-07-2025,WeChat Pay
POS00378,1741,29-04-2025,WeChat Pay
POS00379,2697,23-06-2024,Credit Card
POS00380,2624,20-10-2025,Cash
POS00381,1804,11-06-2025,WeChat Pay
POS00382,2161,20-01-2025,Alipay
POS00383,2515,01-02-2024,Credit Card
POS00384,1170,16-07-2025,Alipay
POS00385,466,13-06-2024,WeChat Pay
POS00386,2289,20-04-2024,Cash
POS00387,2519,19-03-2024,Credit Card
POS00388,1763,18-01-2025,WeChat Pay
POS00389,2955,16-06-2024,Cash
POS00390,2698,19-06-2025,WeChat Pay
POS00391,1909,21-11-2024,Credit Card
POS00392,54,24-03-2024,Cash
POS00393,1587,21-06-2024,WeChat Pay
POS00394,2981,05-02-2024,Alipay
POS00395,1993,21-04-2024,Cash
POS00396,1842,06-05-2024,Cash
POS00397,1446,06-07-2025,Alipay
POS00398,2363,16-05-2024,Alipay
POS00399,569,21-04-2024,WeChat Pay
POS00400,165,26-12-2024,Credit Card
POS00401,1508,08-04-2025,Alipay
POS00402,1885,02-12-2025,Credit Card
POS00403,316,27-11-2025,Cash
POS00404,2025,18-09-2024,Cash
POS00405,707,14-03-2025,Alipay
POS00406,1314,12-12-2024,Credit Card
POS00407,486,03-01-2025,Alipay
POS00408,2538,21-03-2025,Credit Card
POS00409,2783,17-02-2024,Credit Card
POS00410,527,12-09-2024,WeChat Pay
POS00411,407,20-03-2024,Cash
POS00412,2841,17-04-2024,Alipay
POS00413,1301,04-04-2025,Credit Card
POS00414,1871,24-01-2024,WeChat Pay
POS00415,1574,25-11-2025,Alipay
POS00416,1002,17-02-2024,Cash
POS00417,2065,05-03-2025,Credit Card
POS00418,626,17-04-2024,Credit Card
POS00419,1083,15-03-2024,Credit Card
POS00420,1856,17-06-2025,Credit Card
POS00421,2799,22-10-2025,WeChat Pay
POS00422,2407,30-12-2025,Cash
POS00423,2709,19-02-2024,WeChat Pay
POS00424,581,11-02-2024,Cash
POS00425,1261,30-05-2025,Alipay
POS00426,2809,02-04-2025,Cash
POS00427,64,18-03-2025,Alipay
POS00428,1075,20-09-2025,Alipay
POS00429,2440,23-01-2024,WeChat Pay
POS00430,2845,03-12-2025,Cash
POS00431,2092,28-01-2024,WeChat Pay
POS00432,2435,05-01-2024,Credit Card
POS00433,2479,09-06-2024,Credit Card
POS00434,2930,28-02-2025,WeChat Pay
POS00435,2953,10-10-2024,Cash
POS00436,2925,25-11-2024,Alipay
POS00437,1354,01-06-2024,Cash
POS00438,1417,02-01-2024,Alipay
POS00439,1890,04-02-2025,Credit Card
POS00440,1571,01-10-2024,Credit Card
POS00441,2431,26-02-2025,Credit Card
POS00442,2280,17-06-2025,Cash
POS00443,2372,30-06-2024,Alipay
POS00444,1595,09-04-2024,Alipay
POS00445,2490,28-08-2025,Cash
POS00446,2420,24-03-2025,WeChat Pay
POS00447,1885,12-07-2025,Cash
POS00448,704,04-10-2025,Cash
POS00449,902,13-05-2024,Alipay
POS00450,2410,27-07-2025,Cash
POS00451,1036,07-06-2024,WeChat Pay
POS00452,2742,13-11-2024,Alipay
POS00453,1546,21-02-2025,WeChat Pay
POS00454,327,30-04-2024,WeChat Pay
POS00455,2367,13-08-2025,WeChat Pay
POS00456,1142,03-08-2025,WeChat Pay
POS00457,2246,18-12-2024,Alipay
POS00458,677,02-12-2024,Credit Card
POS00459,280,11-03-2024,Alipay
POS00460,2304,29-08-2024,WeChat Pay
POS00461,1335,04-06-2025,Cash
POS00462,1484,27-09-2025,WeChat Pay
POS00463,2840,06-08-2024,Alipay
POS00464,499,25-11-2024,Cash
POS00465,2291,16-05-2025,Credit Card
POS00466,217,12-01-2025,Credit Card
POS00467,1138,15-02-2025,WeChat Pay
POS00468,2635,27-10-2025,WeChat Pay
POS00469,243,23-10-2025,Credit Card
POS00470,500,24-07-2024,Credit Card
POS00471,1455,19-09-2024,Alipay
POS00472,329,11-04-2024,Credit Card
POS00473,1006,23-09-2025,Credit Card
POS00474,2668,25-02-2025,Cash
POS00475,2062,11-12-2025,Cash
POS00476,1951,15-09-2024,Credit Card
POS00477,2686,08-01-2024,WeChat Pay
POS00478,1148,01-04-2025,Alipay
POS00479,1703,22-03-2024,Alipay
POS00480,884,27-09-2025,Cash
POS00481,2888,19-02-2024,WeChat Pay
POS00482,2579,10-03-2025,Cash
POS00483,2264,08-03-2025,Credit Card
POS00484,218,02-12-2025,WeChat Pay
POS00485,898,30-10-2025,Alipay
POS00486,2828,13-04-2025,Cash
POS00487,2291,23-11-2025,Credit Card
POS00488,2281,14-01-2025,Credit Card
POS00489,41,17-08-2025,Cash
POS00490,1419,01-06-2025,WeChat Pay
POS00491,281,04-05-2025,Credit Card
POS00492,2711,23-09-2025,Credit Card
POS00493,2375,17-09-2025,Alipay
POS00494,2015,27-02-2025,Alipay
POS00495,2094,04-10-2025,Alipay
POS00496,1240,01-11-2025,WeChat Pay
POS00497,2132,15-06-2025,Cash
POS00498,2234,08-06-2024,WeChat Pay
POS00499,936,18-12-2025,Cash
POS00500,815,09-02-2025,WeChat Pay
POS00501,498,14-01-2024,Credit Card
POS00502,1430,28-11-2024,Credit Card
POS00503,879,03-09-2025,Alipay
POS00504,1762,04-04-2025,WeChat Pay
POS00505,2058,10-08-2024,Alipay
POS00506,461,10-06-2024,Cash
POS00507,2945,01-01-2025,Cash
POS00508,922,19-04-2025,Alipay
POS00509,2389,22-07-2025,Cash
POS00510,87,29-09-2024,WeChat Pay
POS00511,1413,13-01-2025,WeChat Pay
POS00512,2703,28-09-2024,Alipay
POS00513,2695,21-06-2025,WeChat Pay
POS00514,959,10-01-2024,Cash
POS00515,649,20-11-2024,Cash
POS00516,2859,24-10-2024,Alipay
POS00517,131,01-07-2025,Credit Card
POS00518,1239,18-03-2025,Credit Card
POS00519,1513,04-02-2024,Alipay
POS00520,922,24-12-2025,Cash
POS00521,1406,21-08-2025,WeChat Pay
POS00522,1330,27-11-2025,Credit Card
POS00523,2326,10-05-2024,Credit Card
POS00524,2539,01-10-2024,Alipay
POS00525,1552,05-08-2025,Alipay
POS00526,1889,30-05-2025,Credit Card
POS00527,1460,04-01-2024,Alipay
POS00528,1135,06-08-2025,WeChat Pay
POS00529,2886,05-10-2024,WeChat Pay
POS00530,145,31-05-2024,WeChat Pay
POS00531,1444,24-04-2025,Credit Card
POS00532,810,11-08-2025,Credit Card
POS00533,1052,07-05-2025,Cash
POS00534,2252,19-05-2025,Alipay
POS00535,327,27-07-2024,Cash
POS00536,795,09-10-2025,Cash
POS00537,578,17-07-2025,WeChat Pay
POS00538,1561,18-04-2024,Alipay
POS00539,2714,19-02-2024,Credit Card
POS00540,219,27-10-2024,Credit Card
POS00541,2674,15-05-2024,Credit Card
POS00542,2522,10-01-2024,Credit Card
POS00543,2836,25-01-2024,Alipay
POS00544,2673,08-08-2025,WeChat Pay
POS00545,703,16-06-2025,WeChat Pay
POS00546,61,04-08-2025,Alipay
POS00547,2387,21-01-2024,WeChat Pay
POS00548,2482,15-04-2025,Cash
POS00549,1678,02-04-2024,Alipay
POS00550,2710,23-08-2024,Alipay
POS00551,2595,16-06-2024,Alipay
POS00552,1753,14-03-2024,Cash
POS00553,3000,18-09-2025,Credit Card
POS00554,398,08-06-2024,Cash
POS00555,1556,25-08-2025,Credit Card
POS00556,2341,26-04-2025,Alipay
POS00557,1114,18-01-2024,Alipay
POS00558,1438,27-09-2024,Credit Card
POS00559,1267,03-01-2024,Cash
POS00560,162,03-05-2025,Credit Card
POS00561,883,05-05-2025,Cash
POS00562,2599,03-01-2024,WeChat Pay
POS00563,1024,04-11-2025,Alipay
POS00564,233,01-08-2024,Alipay
POS00565,2421,12-08-2024,Alipay
POS00566,1538,09-01-2025,Alipay
POS00567,368,26-11-2025,WeChat Pay
POS00568,2898,27-08-2024,WeChat Pay
POS00569,2112,11-01-2025,WeChat Pay
POS00570,2877,11-06-2025,Credit Card
POS00571,2151,12-04-2024,WeChat Pay
POS00572,1613,29-06-2024,Alipay
POS00573,559,28-08-2025,Cash
POS00574,548,31-12-2025,Credit Card
POS00575,912,11-08-2025,Cash
POS00576,1103,19-03-2024,Cash
POS00577,271,03-08-2025,Credit Card
POS00578,2756,24-02-2024,Credit Card
POS00579,889,03-08-2025,Alipay
POS00580,962,07-05-2025,Credit Card
POS00581,2665,11-10-2024,WeChat Pay
POS00582,1301,13-02-2024,Cash
POS00583,656,21-09-2024,Cash
POS00584,610,17-03-2024,Credit Card
POS00585,2209,28-02-2025,Credit Card
POS00586,1070,06-05-2024,Credit Card
POS00587,2112,22-08-2025,Cash
POS00588,158,03-06-2024,Alipay
POS00589,277,08-06-2025,Cash
POS00590,2127,23-05-2024,Cash
POS00591,985,13-08-2025,Credit Card
POS00592,2796,18-05-2024,Credit Card
POS00593,399,07-12-2024,Alipay
POS00594,2257,10-05-2024,Alipay
POS00595,677,10-09-2025,WeChat Pay
POS00596,2053,12-04-2024,Cash
POS00597,30,17-06-2024,Credit Card
POS00598,1489,14-10-2025,Credit Card
POS00599,1961,03-11-2024,Alipay
POS00600,1090,14-02-2025,Alipay
POS00601,2711,24-11-2024,WeChat Pay
POS00602,2239,30-06-2024,Credit Card
POS00603,1071,06-06-2024,WeChat Pay
POS00604,2757,27-02-2024,Alipay
POS00605,599,21-07-2025,Cash
POS00606,1683,14-05-2024,WeChat Pay
POS00607,383,25-11-2024,WeChat Pay
POS00608,1311,20-03-2024,Credit Card
POS00609,238,01-04-2025,Alipay
POS00610,2283,12-07-2025,Cash
POS00611,1969,13-07-2024,WeChat Pay
POS00612,2258,23-12-2025,WeChat Pay
POS00613,542,23-03-2025,Alipay
POS00614,2323,15-02-2024,Cash
POS00615,2709,26-07-2025,Cash
POS00616,1864,01-04-2025,WeChat Pay
POS00617,2580,29-04-2025,WeChat Pay
POS00618,205,29-06-2024,Cash
POS00619,2703,16-03-2025,WeChat Pay
POS00620,1314,13-03-2024,Credit Card
POS00621,92,22-10-2025,Alipay
POS00622,257,21-09-2024,Credit Card
POS00623,948,20-11-2024,Cash
POS00624,2532,01-03-2024,Credit Card
POS00625,197,11-11-2025,WeChat Pay
POS00626,67,29-10-2024,WeChat Pay
POS00627,751,06-04-2025,Alipay
POS00628,2967,07-08-2025,WeChat Pay
POS00629,2099,23-04-2024,WeChat Pay
POS00630,2487,02-09-2024,Cash
POS00631,818,25-06-2024,Credit Card
POS00632,2730,25-12-2024,WeChat Pay
POS00633,2625,08-07-2025,Alipay
POS00634,2232,07-05-2024,WeChat Pay
POS00635,692,19-12-2024,WeChat Pay
POS00636,2689,30-09-2025,Cash
POS00637,2190,09-06-2024,Credit Card
POS00638,1265,02-10-2025,Credit Card
POS00639,88,25-12-2025,Credit Card
POS00640,1272,16-09-2024,Cash
POS00641,71,05-07-2025,Cash
POS00642,1835,02-05-2025,Cash
POS00643,1990,19-04-2024,Credit Card
POS00644,439,16-02-2025,Cash
POS00645,1139,02-04-2024,Credit Card
POS00646,2872,29-01-2025,WeChat Pay
POS00647,2396,29-06-2025,Alipay
POS00648,2836,12-10-2024,Cash
POS00649,705,07-08-2025,Credit Card
POS00650,2816,04-05-2025,Credit Card
POS00651,2976,28-11-2024,Alipay
POS00652,962,10-04-2025,Alipay
POS00653,1454,20-03-2025,WeChat Pay
POS00654,995,10-01-2025,Cash
POS00655,1103,24-08-2025,Cash
POS00656,270,26-07-2024,Alipay
POS00657,2007,08-10-2024,Cash
POS00658,840,26-12-2025,Cash
POS00659,2510,30-04-2025,Alipay
POS00660,370,24-09-2025,WeChat Pay
POS00661,1012,14-03-2025,Credit Card
POS00662,2809,31-03-2024,Cash
POS00663,1199,17-02-2024,Alipay
POS00664,1344,04-02-2025,Alipay
POS00665,2081,03-10-2025,Credit Card
POS00666,804,24-10-2025,WeChat Pay
POS00667,197,12-05-2024,Credit Card
POS00668,2666,03-03-2024,Credit Card
POS00669,680,23-11-2025,Cash
POS00670,1467,28-12-2025,Alipay
POS00671,1770,17-03-2025,WeChat Pay
POS00672,2495,10-02-2024,Cash
POS00673,600,21-12-2025,Alipay
POS00674,474,27-12-2024,Cash
POS00675,1289,10-02-2024,WeChat Pay
POS00676,2340,17-04-2025,Credit Card
POS00677,2201,12-09-2025,Alipay
POS00678,264,22-05-2025,WeChat Pay
POS00679,2390,13-08-2025,Credit Card
POS00680,1284,21-08-2025,WeChat Pay
POS00681,1122,31-05-2025,Credit Card
POS00682,661,28-08-2025,Credit Card
POS00683,1699,11-02-2025,Credit Card
POS00684,62,10-07-2024,WeChat Pay
